ds,y
2-Nov-15,1094
3-Nov-15,1031
4-Nov-15,1083
5-Nov-15,1019
6-Nov-15,995
7-Nov-15,524
8-Nov-15,403
9-Nov-15,1039
10-Nov-15,1020
11-Nov-15,1013
12-Nov-15,986
13-Nov-15,1134
14-Nov-15,651
15-Nov-15,410
16-Nov-15,1105
17-Nov-15,1006
18-Nov-15,971
19-Nov-15,997
20-Nov-15,1276
21-Nov-15,591
22-Nov-15,439
23-Nov-15,1097
24-Nov-15,952
25-Nov-15,906
26-Nov-15,211
27-Nov-15,576
28-Nov-15,454
29-Nov-15,452
30-Nov-15,1360
1-Dec-15,1202
2-Dec-15,1139
3-Dec-15,1211
4-Dec-15,1248
5-Dec-15,542
6-Dec-15,455
7-Dec-15,1182
8-Dec-15,1148
9-Dec-15,1112
10-Dec-15,1134
11-Dec-15,1158
12-Dec-15,548
13-Dec-15,490
14-Dec-15,1325
15-Dec-15,1196
16-Dec-15,1289
17-Dec-15,1200
18-Dec-15,1286
19-Dec-15,616
20-Dec-15,573
21-Dec-15,1384
22-Dec-15,1374
23-Dec-15,1258
24-Dec-15,536
25-Dec-15,299
26-Dec-15,501
27-Dec-15,412
28-Dec-15,1214
29-Dec-15,1033
30-Dec-15,1053
31-Dec-15,833
1-Jan-16,434
2-Jan-16,585
3-Jan-16,546
4-Jan-16,1196
5-Jan-16,1171
6-Jan-16,1189
7-Jan-16,1056
8-Jan-16,966
9-Jan-16,551
10-Jan-16,575
11-Jan-16,1102
12-Jan-16,932
13-Jan-16,930
14-Jan-16,896
15-Jan-16,1115
16-Jan-16,613
17-Jan-16,504
18-Jan-16,685
19-Jan-16,1050
20-Jan-16,1101
21-Jan-16,1041
22-Jan-16,1030
23-Jan-16,595
24-Jan-16,493
25-Jan-16,1170
26-Jan-16,983
27-Jan-16,1031
28-Jan-16,970
29-Jan-16,1229
30-Jan-16,991
31-Jan-16,959
1-Feb-16,1816
2-Feb-16,1773
3-Feb-16,1823
4-Feb-16,1810
5-Feb-16,2143
6-Feb-16,863
7-Feb-16,682
8-Feb-16,2111
9-Feb-16,1722
10-Feb-16,2083
11-Feb-16,2238
12-Feb-16,3000
13-Feb-16,894
14-Feb-16,720
15-Feb-16,2126
16-Feb-16,2865
17-Feb-16,1900
18-Feb-16,2495
19-Feb-16,2521
20-Feb-16,1179
21-Feb-16,994
22-Feb-16,2552
23-Feb-16,2099
24-Feb-16,2526
25-Feb-16,2278
26-Feb-16,2623
27-Feb-16,974
28-Feb-16,855
29-Feb-16,2174
1-Mar-16,1758
2-Mar-16,2405
3-Mar-16,2111
4-Mar-16,2039
5-Mar-16,845
6-Mar-16,852
7-Mar-16,2405
8-Mar-16,1922
9-Mar-16,1866
10-Mar-16,1830
11-Mar-16,1798
12-Mar-16,754
13-Mar-16,691
14-Mar-16,1707
15-Mar-16,1728
16-Mar-16,1528
17-Mar-16,1459
18-Mar-16,1492
19-Mar-16,766
20-Mar-16,688
21-Mar-16,1525
22-Mar-16,1343
23-Mar-16,1257
24-Mar-16,1224
25-Mar-16,948
26-Mar-16,695
27-Mar-16,479
28-Mar-16,1378
29-Mar-16,1246
30-Mar-16,1308
31-Mar-16,1295
1-Apr-16,1410
2-Apr-16,692
3-Apr-16,674
4-Apr-16,1259
5-Apr-16,1244
6-Apr-16,1125
7-Apr-16,1197
8-Apr-16,1255
9-Apr-16,668
10-Apr-16,530
11-Apr-16,1244
12-Apr-16,1207
13-Apr-16,1158
14-Apr-16,1153
15-Apr-16,1293
16-Apr-16,636
17-Apr-16,552
18-Apr-16,1300
19-Apr-16,1109
20-Apr-16,1122
21-Apr-16,1154
22-Apr-16,1154
23-Apr-16,661
24-Apr-16,580
25-Apr-16,1321
26-Apr-16,1162
27-Apr-16,1083
28-Apr-16,1227
29-Apr-16,1220
30-Apr-16,718
1-May-16,642
2-May-16,1340
3-May-16,1257
4-May-16,1338
5-May-16,1483
6-May-16,1759
7-May-16,1106
8-May-16,1037
9-May-16,2152
10-May-16,2153
11-May-16,2490
12-May-16,2680
13-May-16,2148
14-May-16,989
15-May-16,946
16-May-16,2156
17-May-16,2218
18-May-16,1893
19-May-16,1814
20-May-16,2381
21-May-16,812
22-May-16,788
23-May-16,2075
24-May-16,1806
25-May-16,1314
26-May-16,1592
27-May-16,1430
28-May-16,686
29-May-16,553
30-May-16,552
31-May-16,1814
1-Jun-16,1720
2-Jun-16,1347
3-Jun-16,1624
4-Jun-16,748
5-Jun-16,706
6-Jun-16,1400
7-Jun-16,1471
8-Jun-16,1526
9-Jun-16,1372
10-Jun-16,1392
11-Jun-16,810
12-Jun-16,565
13-Jun-16,1495
14-Jun-16,1413
15-Jun-16,1321
16-Jun-16,1437
17-Jun-16,1278
18-Jun-16,729
19-Jun-16,589
20-Jun-16,1485
